Date: 4/1/2026
1

6000	0
0.00000000	1.00000000	0.00000000	0.00000000	0.50000000	0.00000000
Time of Day	Time (s)	I0	TEY UHV XAS	TFY UHV XAS	Dev1_ai2_I2	Dev1_ai3_TEYCell	Dev1_ai4_Cell TEY(Temp)	Dev1_ai5	Dev1_ai6	Dev1_ai7	Dev1_ai8	Dev1_ai9	Dev1_ai10	Dev1_ai11	Dev1_ai12	Dev1_ai13	Dev1_ai14	Dev1_ai15	Beam Current	UHV XAS X	UHV XAS Y	UHV XAS Z	UHV XAS Theta	Aperture A	Aperture B	Slit C	Slit D	Gate	Grating Motor Position	Grating Translate	Mask	Mono Air	Mono Tank	Mono Table	Mono Cooling	Mono Support	Slot_1 Ch 5	Slot_1 Ch 6	Slot_1 Ch 7	Air	Mono chamber Al support	Mono chamber cooling line	Mono chamber Flange	Mirror chamber pipe	Mirror chamber struts	Main chamber struts	Main chamber pipe	Slot2_ch0	MCP Rate	MCP Np	MCP TBin 0	MCP Python	SDD Counts	SDD Counts 2	
15:56:05	1.10400000	0.25778596	-0.02126520	0.00000000	0.03755962	0.10755578	0.10846852	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00374807	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.46067786	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06558630	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:07	2.14700000	0.25772807	-0.02122540	0.00000000	0.03749779	0.11319901	0.11418280	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00375136	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.43503461	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06559673	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:08	3.19500000	0.25773432	-0.02127770	0.00000000	0.03745799	0.12268892	0.12300369	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00378030	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.40736746	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06559300	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:09	4.25000000	0.25777510	-0.02119679	0.00000000	0.03739977	0.11992766	0.11958164	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00372439	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.38672723	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06558861	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:10	5.29700000	0.25768794	-0.02125073	0.00000000	0.03741523	0.15495107	0.15513394	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00377109	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.36754475	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06559002	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:11	6.32300000	0.25766064	-0.02128230	0.00000000	0.03749713	0.15281047	0.15337786	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00376781	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.34520152	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06559445	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:12	7.35200000	0.25744027	-0.01150755	0.00000000	0.00041766	0.49422788	0.48941911	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00373162	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.31969754	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06559212	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:13	8.41900000	0.25732679	-0.00412764	0.00000000	-0.00387799	0.21534383	0.21768770	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00378557	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.28924536	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06558827	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:14	9.52300000	0.25744356	-0.00403949	0.00000000	-0.00385628	0.17970075	0.18112759	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00372603	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.27154517	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06559943	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:56:15	10.53300000	0.25740080	-0.00406679	0.00000000	-0.00387931	0.16785810	0.16869223	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00374906	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	500.24369788	14.70185714	2.37700000	60.00000000	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.06559325	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
