Date: 4/1/2026
1

600	0
0.00000000	1.00000000	0.00000000	0.00000000	0.50000000	0.00000000
Time of Day	Time (s)	I0	TEY UHV XAS	TFY UHV XAS	Dev1_ai2_I2	Dev1_ai3_TEYCell	Dev1_ai4_Cell TEY(Temp)	Dev1_ai5	Dev1_ai6	Dev1_ai7	Dev1_ai8	Dev1_ai9	Dev1_ai10	Dev1_ai11	Dev1_ai12	Dev1_ai13	Dev1_ai14	Dev1_ai15	Beam Current	UHV XAS X	UHV XAS Y	UHV XAS Z	UHV XAS Theta	Aperture A	Aperture B	Slit C	Slit D	Gate	Grating Motor Position	Grating Translate	Mask	Mono Air	Mono Tank	Mono Table	Mono Cooling	Mono Support	Slot_1 Ch 5	Slot_1 Ch 6	Slot_1 Ch 7	Air	Mono chamber Al support	Mono chamber cooling line	Mono chamber Flange	Mirror chamber pipe	Mirror chamber struts	Main chamber struts	Main chamber pipe	Slot2_ch0	MCP Rate	MCP Np	MCP TBin 0	MCP Python	SDD Counts	SDD Counts 2	
15:33:37	1.10400000	-0.00432828	-0.00412106	0.00000000	-0.00396220	-0.00208145	-0.00240444	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00381089	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	474.03158006	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:38	3.13800000	-0.00431447	-0.00408784	0.00000000	-0.00383556	-0.00209526	-0.00225512	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00381945	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	474.78204321	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	NaN	NaN	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:39	4.44700000	-0.00425954	-0.00409837	0.00000000	-0.00396318	-0.00209230	-0.00226597	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00379708	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	475.36435675	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25229710	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:41	5.63400000	-0.00428026	-0.00417895	0.00000000	-0.00395924	-0.00216138	-0.00254127	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00383129	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	475.69222998	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25229603	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:42	6.53900000	-0.00431644	-0.00414836	0.00000000	-0.00386582	-0.00213934	-0.00234327	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00383885	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	475.95124792	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25228277	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:43	7.54300000	-0.00417040	-0.00407567	0.00000000	-0.00388260	-0.00208540	-0.00222617	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00379642	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	476.57846045	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25228708	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:44	8.55500000	-0.00422697	-0.00412764	0.00000000	-0.00384411	-0.00214559	-0.00245148	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00379642	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	477.02127051	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25229736	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:45	9.55700000	-0.00423059	-0.00412468	0.00000000	-0.00390003	-0.00208967	-0.00243799	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00383918	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	477.42700171	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25229800	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:46	10.74500000	-0.00424770	-0.00415691	0.00000000	-0.00393588	-0.00209493	-0.00206171	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00382306	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	477.83599448	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25228826	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
15:33:47	11.76300000	-0.00424835	-0.00416645	0.00000000	-0.00392700	1.89025716	1.90217392	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00380399	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	478.42555594	14.70185714	2.37700000	35.80537500	-0.05600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.25228469	-57.99998560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
